# Draft submorpheme inventory (build_submorph_inventory). Curate into core/data/submorph.tsv.
# fragment	position	class	canon_weight	associations	gloss
kit	T	quality	0.54	-:0.0	canon suffix
ko	T	quality	0.54	-:0.0	canon suffix
ku	T	quality	0.54	-:0.0	canon suffix
la	T	quality	0.74	-:0.0	canon suffix
li	T	quality	0.63	-:0.0	canon suffix
lla	T	quality	0.61	-:0.0	canon suffix
lo	T	quality	0.69	-:0.0	canon suffix
loop	T	quality	0.67	-:0.0	canon suffix
ly	T	quality	1.00	-:0.0	canon suffix
ma	T	quality	0.83	-:0.0	canon suffix
ment	T	quality	0.61	-:0.0	canon suffix
mi	T	quality	0.67	-:0.0	canon suffix
mo	T	quality	0.63	-:0.0	canon suffix
na	T	quality	0.94	-:0.0	canon suffix
nal	T	quality	0.59	-:0.0	canon suffix
ngo	T	quality	0.54	-:0.0	canon suffix
ni	T	quality	0.65	-:0.0	canon suffix
nic	T	quality	0.57	-:0.0	canon suffix
no	T	quality	0.61	-:0.0	canon suffix
note	T	quality	0.57	-:0.0	canon suffix
on	T	quality	0.82	-:0.0	canon suffix
os	T	quality	0.63	-:0.0	canon suffix
pay	T	quality	0.74	-:0.0	canon suffix
per	T	quality	0.61	-:0.0	canon suffix
pi	T	quality	0.59	-:0.0	canon suffix
port	T	quality	0.54	-:0.0	canon suffix
ra	T	quality	1.00	-:0.0	canon suffix
re	T	quality	0.98	-:0.0	canon suffix
ri	T	quality	0.73	-:0.0	canon suffix
ro	T	quality	0.82	-:0.0	canon suffix
ry	T	quality	0.83	-:0.0	canon suffix
so	T	quality	0.54	-:0.0	canon suffix
ta	T	quality	0.94	-:0.0	canon suffix
ter	T	quality	0.79	-:0.0	canon suffix
tes	T	quality	0.54	-:0.0	canon suffix
tic	T	quality	0.67	-:0.0	canon suffix
tive	T	quality	0.61	-:0.0	canon suffix
to	T	quality	0.91	-:0.0	canon suffix
tor	T	quality	0.70	-:0.0	canon suffix
tra	T	quality	0.57	-:0.0	canon suffix
tter	T	quality	0.65	-:0.0	canon suffix
tus	T	quality	0.54	-:0.0	canon suffix
ty	T	quality	0.82	-:0.0	canon suffix
um	T	quality	0.71	-:0.0	canon suffix
us	T	quality	0.71	-:0.0	canon suffix
va	T	quality	0.73	-:0.0	canon suffix
ver	T	quality	0.67	-:0.0	canon suffix
vo	T	quality	0.70	-:0.0	canon suffix
vy	T	quality	0.54	-:0.0	canon suffix
